,Symbol,Name,Sector,Clearing Type,Shares,Free Float,Listed In
96,DADX,Dadex Eternit Ltd,ENGINEERING,NC,"10,764,000","538,200",ALLSHRKMIALLSHR
97,DAWH,Dawood Hercules Corporation.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"481,287,116","336,900,981",ALLSHRKMI30KMIALLSHRKSE100
98,DCL,Dewan Cement Ltd.,CEMENT,NC,"484,113,343","121,028,336",ALLSHRKMIALLSHR
99,DCR,Dolmen City REIT XD,REAL ESTATE INVESTMENT TRUST,NC,"2,223,700,000","555,925,000",ALLSHRKMIALLSHRKSE100
100,DEL,Dawood Equities Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"27,500,000","13,750,000",ALLSHR
101,DFML,Dewan Farooque Motors Ltd,AUTOMOBILE ASSEMBLER,NC,"138,735,242","55,494,097",ACIALLSHR
102,DFSM,Dewan Farooque Spinning,TEXTILE SPINNING,NC,"97,750,726","34,212,754",ALLSHRKMIALLSHR
103,DGKC,D.G. Khan Cement Co. Ltd.,CEMENT,NC,"438,119,097","219,059,559",ACIALLSHRKMI30KMIALLSHRKSE100KSE30MZNPI
104,DIIL,Diamond Industries Ltd,MISCELLANEOUS,NC,"9,000,000","1,350,000",ALLSHRKMIALLSHR
105,DINT,Din Textile Mills Ltd,TEXTILE SPINNING,NC,"52,466,750","2,623,337",ALLSHRKMIALLSHR
106,DLL,Dawood Lawrencepur Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"59,299,809","5,929,981",ALLSHR
107,DOL,Descon Oxychem Ltd.,CHEMICAL,NC,"175,031,084","52,509,325",ALLSHRKMIALLSHRPSXDIV20
108,DSIL,D. S. Industries Ltd,TEXTILE SPINNING,NC,"83,685,631","62,764,223",ALLSHR
109,DYNO,Dynea Pakistan Ltd.,CHEMICAL,NC,"18,872,400","12,267,068",ALLSHRKMIALLSHR
110,ECOP,EcoPack Ltd.,MISCELLANEOUS,NC,"48,258,419","28,955,051",ALLSHR
111,EFERT,Engro Fertilizers Ltd.,FERTILIZER,NC,"1,335,299,375","600,884,719",ALLSHRKMI30KMIALLSHRKSE100KSE30NBPPGINITPGIPSXDIV20UPP9
112,EFGH,EFG Hermes Pakistan,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"20,015,650","9,007,043",ALLSHR
113,EFUG,EFU General Insurance Ltd.,INSURANCE,NC,"200,000,000","60,000,000",ALLSHRKSE100
